<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20210601,095500,312.6,312.6,312.6,312.6,14547
SBER,5,20210601,100000,312.6,312.6,311.61,312.04,180397
SBER,5,20210601,100500,312.12,312.5,311.73,312.22,80582
SBER,5,20210601,101000,312.22,312.48,312.03,312.23,40924
SBER,5,20210601,101500,312.23,312.48,311.73,312.46,81095
SBER,5,20210601,102000,312.4,312.75,312.32,312.43,73668
SBER,5,20210601,102500,312.47,312.87,312.3,312.85,48476
SBER,5,20210601,103000,312.86,313.04,312.59,312.8,75634
SBER,5,20210601,103500,312.82,313.59,312.75,313.47,109735
SBER,5,20210601,104000,313.46,313.77,313.13,313.67,72989
SBER,5,20210601,104500,313.76,313.77,313.4,313.4,48455
SBER,5,20210601,105000,313.45,314.17,313.45,313.9,111400
SBER,5,20210601,105500,313.9,314.15,313.78,313.97,57855
SBER,5,20210601,110000,313.93,313.98,313.51,313.59,39343
SBER,5,20210601,110500,313.59,313.83,313.32,313.7,38253
SBER,5,20210601,111000,313.68,313.84,313.4,313.49,34116
SBER,5,20210601,111500,313.5,313.79,313.47,313.71,28015
SBER,5,20210601,112000,313.71,313.71,313.31,313.58,22210
SBER,5,20210601,112500,313.59,313.85,313.53,313.85,43680
SBER,5,20210601,113000,313.85,313.94,313.71,313.8,87283
SBER,5,20210601,113500,313.8,313.81,313.42,313.5,12869
SBER,5,20210601,114000,313.56,313.67,313.15,313.27,35274
SBER,5,20210601,114500,313.27,313.42,313.07,313.18,42396
SBER,5,20210601,115000,313.18,313.4,313.02,313.1,18676
SBER,5,20210601,115500,313.1,313.35,312.89,312.92,25657
SBER,5,20210601,120000,313,313,312.75,312.93,22326
SBER,5,20210601,120500,312.93,313.06,312.77,312.81,15434
SBER,5,20210601,121000,312.89,313.24,312.77,313.19,16335
SBER,5,20210601,121500,313.19,313.5,313.05,313.4,25615
SBER,5,20210601,122000,313.4,313.4,313.21,313.37,10837
SBER,5,20210601,122500,313.38,313.49,313.14,313.26,22942
SBER,5,20210601,123000,313.26,313.39,312.89,313.08,23683
SBER,5,20210601,123500,313.06,313.06,312.65,312.77,15186
SBER,5,20210601,124000,312.72,313,312.66,312.72,9641
SBER,5,20210601,124500,312.79,312.81,312.29,312.43,58422
SBER,5,20210601,125000,312.43,312.6,312.4,312.59,8606
SBER,5,20210601,125500,312.59,312.9,312.55,312.82,16560
SBER,5,20210601,130000,312.82,312.82,312.44,312.55,15734
SBER,5,20210601,130500,312.55,312.93,312.55,312.88,15688
SBER,5,20210601,131000,312.89,312.95,312.74,312.9,6909
SBER,5,20210601,131500,312.92,313.44,312.85,313.42,24875
SBER,5,20210601,132000,313.42,313.74,313.3,313.4,69606
SBER,5,20210601,132500,313.46,313.48,313.12,313.27,15166
SBER,5,20210601,133000,313.27,313.4,313.1,313.17,7009
SBER,5,20210601,133500,313.15,313.33,313.03,313.3,10584
SBER,5,20210601,134000,313.29,313.54,313.2,313.39,19713
SBER,5,20210601,134500,313.48,313.51,313.15,313.4,10933
SBER,5,20210601,135000,313.31,313.47,313.14,313.26,9526
SBER,5,20210601,135500,313.26,313.33,313.15,313.16,5338
SBER,5,20210601,140000,313.15,313.3,313.14,313.25,4309
SBER,5,20210601,140500,313.25,313.59,313.15,313.52,20032
SBER,5,20210601,141000,313.55,313.55,313.27,313.42,9481
SBER,5,20210601,141500,313.37,313.37,313.17,313.19,5392
SBER,5,20210601,142000,313.19,313.5,313.17,313.28,25417
